id,testGroup,storeLocType,storeAge,pop5mi,comp5mi,sumPre4_5,sumPost4_5,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27,wk28,wk29,wk30,wk31,wk32,wk33,wk34,wk35,wk36,wk37,wk38,wk39,wk40,wk41,wk42,wk43,wk44,wk45,wk46,wk47,wk48,wk49,wk50,wk51,wk52
12,8B,Urban - Strip Mall,9,390000,10,342936.2,920236,26602.6,19732,25795.6,21910.4,24853.4,32970.2,25441.6,24723.8,21555.2,25766.2,22287.2,31605.4,20935.6,18757,24743,18704,18752,24609,19297,23734,25128,24108,20099,19712,25595,27525,26851,20172,22570,19950,21315,19010,23728,23233,19872,20887,20514,23429,20861,21376,26484,21197,20670,20594,28913,22075,33217,21728,32144,30171,39856,28656
13,Control,Suburban - Standalone,35,151000,18,356590.6,1042584,22425.6,25854.2,25509.8,28554.4,24690.6,30978,21639.6,27866,24743.2,24852.6,26668.2,24215.6,27257.8,21335,21158,24479,24750,24021,21241,26881,26732,20494,27683,24515,25247,26223,23657,27030,22730,19141,24636,22130,29091,20904,26651,25277,28055,24039,29432,31317,30674,28353,26625,23390,31059,31385,28313,25520,34827,42214,39024,32351
14,Control,Rural - Standalone,15,55000,63,198479.4,584738,12955.8,13475.8,13059.8,15360.8,13370.8,14933,13500.6,16218.6,14777.6,13354.6,18183,14431.2,12955.8,11902,12026,15390,15480,17937,13882,11303,12493,12736,11838,13441,14503,12644,12418,11625,10998,15607,14642,15213,15697,15325,16426,13616,12126,13757,12163,15832,16970,17696,17111,15392,15562,14816,20671,18127,15384,24792,19652,17545
15,Control,Suburban - Standalone,30,8000,50,343278.4,979302,25622.4,21324.8,22159.6,21184.2,25199.8,33546,20140.4,26749.8,20868.8,28029.8,26298.2,21191.8,24404.8,26558,20525,26237,22904,20538,20286,25069,21207,26268,27119,24609,17415,23498,20359,24347,22269,24140,25695,19732,18848,24686,23845,22997,25625,27821,25521,27262,23297,20813,25310,25803,24114,25159,34972,28565,27298,37957,41400,29234
16,8A,Urban - Strip Mall,28,66000,1,184842.2,535550,11227.4,14650.2,13939.6,12272,11653.6,15285,15326.8,14184.4,11709.6,12054.4,11323,16906.4,13775.8,10534,13588,13852,12782,15122,12351,14358,12282,12752,12023,12739,12513,14907,13803,11476,13784,10684,14525,14856,13927,13921,13006,14554,12464,12496,13546,14378,13780,15097,15760,13580,13219,14462,16534,12309,12859,19025,17907,13795
17,8A,Suburban - Strip Mall,18,117000,25,185266,489824,11350.8,11558.4,11838.4,12960.4,11558.4,16140.2,13888.2,15041.2,13057,11960.2,14244,13659.8,15063,12946,11063,10673,11163,12006,10201,10295,13103,11986,11478,12516,10580,11169,9414,10087,11778,10878,12561,13956,11236,14657,14636,10912,11841,11299,10955,11877,15135,10831,10372,14394,11550,16837,18777,10981,13024,17090,19703,15864
18,Control,Urban - Strip Mall,35,298000,10,201745.6,568088,14186.6,12119.4,11844.8,12814.2,11987.4,18397.2,14970.4,13593.6,17058,14744.2,14504,17215.6,16363.2,11947,11670,11738,12708,13525,13918,13512,11307,11913,15242,11386,12510,13655,12815,15350,15150,15700,12265,12590,15832,14002,13638,12323,12885,11446,17559,12443,16947,16648,16868,13357,18043,18975,17429,16318,15005,21322,20308,17839
19,8A,Rural - Strip Mall,22,35000,20,313602.4,862223,20555.6,17365,23099.2,22332.6,24841,23424.2,17929.6,21293.6,26321.6,24522.6,25042.2,25466,22218.2,19191,19026,23678,17576,20244,16035,18345,16278,23870,24207,16031,15785,26370,22255,21742,22042,18930,19584,21238,19332,20746,24362,17257,19059,19458,23468,24594,18424,18875,23791,21934,27159,20559,28767,26290,23881,37185,33213,31442
20,Control,Urban - Strip Mall,39,75000,6,181329.8,533096,12058.2,11640,10395.8,12797.2,15202.8,15150.2,11642,14416.6,11118.6,11890.8,13128.6,15724,13624,12541,11565,14534,13478,16162,13911,13317,13140,13618,13760,13066,12088,12094,13417,12443,14514,10604,14209,13072,10836,12405,12163,12774,12578,11250,12198,13491,13393,14308,15037,12108,12000,14044,19070,13017,14846,20642,17930,17473
21,7A,Urban - Strip Mall,24,12000,96,266463.2,767485,17459,22285.4,21362.6,20866.4,16702,19656,16199.4,20941.2,19242.6,18746.4,20518.8,17882.6,17029.8,17571,19468,17716,20535,18211,18854,20383,19401,15023,16262,20369,20724,19582,20735,14966,19828,19508,21313,19323,16727,22660,19584,18806,22729,16153,16965,21115,19337,16605,16919,17263,20177,17838,27781,19340,22125,25208,29037,21344
22,Control,Urban - Standalone,9,161000,4,275960,780601,18862.8,17904,14605,17066.4,17730.2,22769.8,22691.6,22235.8,20520.8,21484,22370.8,18738.4,20588.4,18392,18305,17890,14812,21575,16571,18774,21092,14818,19990,17542,15752,24003,19924,18607,16732,17098,19786,18415,16067,18587,21341,15813,22257,22699,17816,16879,18809,21456,21809,18439,24803,24524,30981,19448,23923,23170,24815,26887
23,Control,Rural - Strip Mall,14,55000,1,322842.4,924383,19466.8,21025.4,24646.6,28465.4,18740.6,29026.4,22487.4,24431,27083.8,22516.4,20418.2,24677.8,19302.6,20554,17995,26662,20150,24585,24047,24704,21750,20184,20229,17384,22284,26747,17672,20607,25414,21622,27464,19075,22798,19551,23083,23933,21148,26378,20478,24342,19486,22759,25708,22485,20938,29381,26313,22861,30439,40121,37842,25210
24,8A,Suburban - Strip Mall,31,5000,8,316063.2,965871,19709,18866.4,20773.8,20355.8,20072,30242.2,22551.4,24917.8,23873.8,19898.2,23405.2,21768.4,27209.2,22420,25828,20900,23907,23786,21693,18604,24607,19032,28190,20403,25158,26176,22856,21494,20480,25353,24965,21526,25456,26877,19776,19198,26921,22772,20837,27548,25775,19929,24497,28845,27601,28259,36511,28096,23456,29744,34601,31794
25,Control,Suburban - Standalone,3,4000,18,286870,845182,20428.8,16792.8,21123.2,20651.6,22592.4,25324.8,23764.6,17915.8,18858.8,20986,17178.6,22782,20785.6,17685,19016,22555,18743,24677,18625,16685,16302,22011,17373,21292,20602,25256,16839,22275,21394,22072,23334,19160,20155,22643,17614,20086,21745,17182,20549,20445,17915,22697,21867,19195,25552,27985,25152,24872,26998,26462,34575,25597
26,Control,Urban - Standalone,16,276000,12,340835.4,982759,23397.4,24330.2,20546.4,23889.4,24411.8,25219,20238.6,29393.2,22055,28236.4,26183,23928,22842,26165,20530,19541,19851,24126,22467,26275,19293,24550,23383,20956,17756,25824,27199,25183,19926,19683,24386,28741,19533,30080,26006,19563,26157,24876,30131,26006,23130,27423,27931,21638,30884,24959,30553,20764,27157,34371,45133,30629
27,Control,Metropolitan - Standalone,21,135000,63,162450,474539,9496.8,13364.6,11057.4,11237.6,10915.8,16715.4,12422.8,10992,11410.4,10122.2,10270.2,14911.4,10141.4,9392,10036,11635,10260,14437,11381,10290,13071,9858,11434,9066,10574,10345,12608,12992,10941,10203,11839,10487,10574,9942,9989,13811,12464,13317,12824,11796,10721,12636,12313,13519,10479,12542,16528,11087,14658,19677,21660,13153
28,Control,Suburban - Standalone,20,6000,6,291581.8,831345,17981,17686,18196.6,18795.4,22654.4,29131.2,18366.2,19742.8,21986,23371.2,22235,19233,20321,21882,20343,20026,19083,20721,20825,16232,15223,15126,18859,15779,17162,19592,16251,19758,22095,16612,22615,17476,19668,19438,19207,16085,23380,23695,24680,19045,19873,20098,19946,22288,24359,27010,31774,24029,27802,34344,36154,22810
29,Control,Suburban - Strip Mall,4,91000,3,305988.4,904902,23102,20930.4,19064.2,26749.4,22398.6,23138.6,21085.8,20800.6,21935.2,20034.8,22165.8,27961.4,18860.6,17761,20929,19846,25692,26869,24363,22625,20177,17909,24711,16862,18205,26794,20553,25175,21911,20721,20910,21911,20079,19356,22156,23654,21949,18060,27487,23545,23209,25294,26146,27793,22455,24950,29861,20024,21535,34334,29379,29712
30,Control,Suburban - Standalone,36,136000,6,294765.6,817526,18884.6,16236.2,18695.8,24178.6,18393.4,28579,24069.2,23117.8,23339.8,22449.4,17542.6,21101,20174.2,18004,18303,16956,22219,20591,19662,17684,19116,19284,18912,16222,18781,23394,16181,22225,17894,18775,19835,21973,16895,20475,23328,16147,22568,22754,17032,22435,17945,20404,18286,18632,22010,21814,23442,23013,24429,34562,37297,28047
31,7A,Urban - Strip Mall,13,30000,1,465221.6,1256838,28834.8,33569.6,32074.2,35581,32062,41934,34285.2,35849.6,33261,27664.6,29643.8,35924.2,30576.6,33961,28977,26627,30632,33312,30080,34615,25015,27580,34746,26389,27408,35594,24906,27604,31745,24998,27302,31782,29941,30040,36364,32704,30616,28996,36737,31958,31338,31027,26293,36657,38161,28787,40219,36835,29078,47358,48975,41481
32,Control,Urban - Strip Mall,36,391000,106,370488.8,1047115,20084.8,27660.4,26763.8,30425.6,21452.4,32036.6,23983.6,24971.6,26924.6,28837,28640.8,23301.4,30908.2,24498,21523,22204,25169,32068,27454,20642,21136,19261,21218,18389,26949,24878,27074,23875,22601,27358,26675,26133,21220,22183,28029,29481,29097,29579,24435,27068,31277,25912,23652,31444,25137,34306,30015,26548,32076,43050,37399,36102
33,Control,Urban - Strip Mall,24,25000,33,267964,770374,15861.6,16092.2,19246.2,18643.8,20086.8,19175.4,22441,17219,22791.6,19921.6,22377.8,20264.8,17178.2,16664,15553,18821,15363,18213,19028,16879,19488,14354,15749,16897,19498,19032,15972,20483,20201,18208,19992,18537,19202,21427,17741,20528,17770,19381,21935,20293,17759,20028,17627,22642,19037,22536,23972,19955,26071,23563,34833,25142
34,Control,Metropolitan - Standalone,30,402000,37,255369.8,709498,18306.2,17758.2,19098.6,16893,17550.2,25086,18432.8,17070,19871.8,19873.8,15723.2,17823.8,18395.2,13487,19987,17489,13737,16389,15063,13698,16971,19195,16915,17855,16487,18935,18715,14521,14773,19461,15193,18231,16167,18640,21094,14417,20339,19877,21213,20161,19717,15304,21378,14822,16436,16911,24926,21842,22089,22473,23494,21096
35,Control,Suburban - Standalone,13,5000,35,92001.2,255113,6236.2,7234.2,6111.8,7333.8,7181.6,7083,7229.8,6795.6,5637,6467.6,5794.6,5758,6144,6994,6628,6019,6385,6028,5890,5190,6206,6914,7369,4870,5179,5851,5368,6553,5059,6467,7128,6293,5551,6045,5389,6108,7428,6664,5404,6908,7016,5374,6844,7124,6524,6204,8408,7936,7219,8215,10484,7877
36,Control,Suburban - Standalone,9,25000,28,437643.6,1252279,31766.8,28489.6,28577.6,37577.6,25119,31490,30576.6,26678.2,33843.2,35430.4,31244.2,30736.6,34642.8,31471,28734,27255,25689,33630,28428,25131,33550,29926,30259,28515,29216,35366,26452,30889,34271,31178,27979,24640,36074,27040,35548,32981,30341,30036,29926,35710,26776,26105,36673,31019,29766,35876,49110,29165,36114,49337,39390,42713
37,Control,Suburban - Strip Mall,27,6000,0,309438.6,913778,17706.6,18488.2,16747.8,25358.2,20627.4,25952.2,18952.4,26780,25573.8,20002.2,27447,22857.6,18726.2,24219,20277,22474,23669,22022,20824,17743,17984,23698,24313,23011,18597,22282,22949,21696,17715,19361,24350,26094,24234,23750,19974,22725,24984,18414,24178,23215,22810,26377,23906,21078,28770,24487,30532,18874,24203,38951,28246,30792
38,Control,Suburban - Strip Mall,4,345000,21,417405,1166555,27354.8,29445.6,30549.2,34551.8,28158.6,37333.6,32612.2,26011,24515,31274.8,26163.2,32909,32911.2,23615,22320,22273,29867,30282,21791,32157,30689,29695,31596,22769,27299,35207,29774,25331,32271,28251,24042,25854,33973,24172,32050,32738,33450,25443,28820,30895,26082,27424,27887,25288,29125,28135,36177,26183,39319,51341,43272,39698
39,Control,Suburban - Standalone,9,5000,16,129989.4,388480,7489.6,8779.8,7444.4,10399.4,9211,10865.8,7951.8,9543.4,9186.2,8040.8,11426.8,10123.6,10184.8,9342,10282,7724,10626,10458,8911,9291,9697,7836,10945,8212,8312,11189,8700,7736,10429,7291,10766,10819,7516,9840,9015,7650,11034,10654,11132,10819,10637,11457,9492,8372,10168,9594,10872,9601,9365,15658,14250,12788
40,Control,Urban - Standalone,11,25000,14,175071.2,493146,11985.8,9464.6,11579.6,12134.8,12169.2,17097,9754,13026.8,12593.6,10717.6,14333.6,12898,14469.6,12847,13587,10945,10162,14347,12443,9756,12158,12915,13718,8799,10470,12207,9195,9635,9464,10445,9548,13243,12117,12804,12258,13547,10463,12395,14073,14541,14640,10680,11619,13268,14338,13451,16576,14265,15772,18846,15125,16484
41,Control,Urban - Strip Mall,9,19000,15,243546.8,697056,12912.8,18210.2,15682.6,19626.4,19443,20658.6,14192.6,17882.2,18027,19983.4,15760.8,17997,19146.2,14024,18056,16659,13600,15629,13136,13536,17044,14785,17288,18544,16794,18071,17136,15976,18495,15454,18540,14152,20250,17934,17773,19062,20372,14903,19582,20237,15175,16443,18649,18191,20413,18634,27411,21423,15974,23949,23542,20220
42,Control,Suburban - Strip Mall,11,19000,1,441285.2,1295722,34345.8,28097.2,32683.8,37583.4,24509.4,37835.2,34264.4,28149.8,25348.4,27788.6,37204,36651,28337.2,28487,31907,33661,35078,32707,28382,30667,29908,26317,35490,26156,33010,34154,29235,34876,34135,30022,36353,29321,34135,33257,35403,30996,24946,26984,34927,34115,31938,31122,26779,32799,27053,42790,47975,35691,39840,43219,46130,35757
43,Control,Rural - Standalone,14,6000,30,292651.8,825642,17586.4,16375.4,17601.4,22112.8,22845.4,26399,18939,21091.8,20243.2,24062.8,23451.4,20728,23417.2,17798,21310,19632,22519,22898,20497,21562,21467,16527,19517,21093,21138,22054,17460,22360,20182,20622,16230,17651,15840,23000,23448,21162,22902,16085,21017,21138,20743,17409,16938,18058,23532,19316,32689,17407,18936,32314,37366,23825
44,Control,Suburban - Strip Mall,4,94000,26,473231.8,1315091,26057,35801.8,25272.4,30786.2,32675.2,44796.2,36678.8,27666,31330.2,36550,35359.6,38612.8,35080.6,36565,25041,30716,35547,29889,26784,37338,34710,25993,33100,25090,30126,39073,31990,31357,33106,27541,35538,33866,26181,28391,34524,33127,29237,30187,29028,38468,38964,31822,30044,35618,33024,31002,50261,36555,40219,41736,50866,42467
45,7B,Urban - Standalone,18,225000,32,297347.2,829000,16128.6,23067.8,20761.2,22150.8,17071.8,24460.6,23065.6,22375.2,22274,20461.2,18258,24693.6,22360.8,20218,19278,21531,16140,25349,18605,22122,16470,17698,19736,15741,17339,22432,20316,22903,18646,15981,23634,22662,23488,17119,18915,17887,24165,23871,17980,18182,20037,20912,25007,23161,18446,20998,29370,25485,22518,29621,32850,22187
46,Control,Suburban - Strip Mall,7,71000,26,160972.4,459806,11343,10464,9733.8,12799,12629.6,11278.8,13522.6,9574,10828.4,10550.8,11455.6,14374,11887.8,10531,11592,12579,11249,13384,11649,12284,10185,9344,11509,12015,9929,11061,10646,9925,10446,12412,9149,11423,10019,10113,11231,10866,11361,9408,10949,9604,10595,12918,11453,13678,10514,13883,16078,13533,13010,19168,17124,12989
47,Control,Urban - Standalone,17,97000,8,325596,925165,24403.6,20327.6,18529.2,26065.6,24004.6,24753.2,26656.6,24079.8,22940.8,26800.2,27667.8,20653.6,20696.4,18017,22847,22178,24636,28970,24720,24158,24750,22080,24814,19840,23832,20989,22878,23346,20672,21406,25439,20942,24053,24566,23407,18401,26297,24043,21500,20697,20567,20954,20563,21523,22011,23064,32079,25852,28577,28440,30109,31948
48,Control,Suburban - Standalone,40,3000,12,258986.4,723859,15830.4,17119.6,19462.4,18280.2,18883.6,23392,14756.6,19368,15763,21655,17307.2,19941.4,17424,19803,18128,16502,19420,22748,13720,17117,17660,19294,15401,17782,13654,20467,15455,14699,17363,13768,17074,19145,16233,17858,19219,17830,16272,19581,18936,20411,17761,21146,18295,18436,18340,20745,26977,15523,19356,21842,28656,21242
49,Control,Metropolitan - Strip Mall,41,442000,11,254336.6,728544,15733.8,14054.6,17251.4,21352.4,18385,21201.4,19723.6,17162.4,20571.2,19403.2,18663.8,17364.8,18504,14965,15268,16771,20441,16219,13889,19858,19589,16384,21746,15430,18123,15634,20014,16862,14603,14196,21131,15759,19261,15741,22509,18179,15748,19579,16888,20598,17087,19112,18962,21259,16860,17900,25058,21425,18809,24914,26655,25118
50,8B,Suburban - Strip Mall,10,134000,6,205952.2,586927,12081,11957.6,14027.2,13262,14936.6,14458.4,17224.6,16521.6,15639.6,16427.8,16390.6,14381,15325.2,13319,14159,11114,10964,13891,15213,12046,15026,11242,16244,11065,10647,17229,11442,14863,14567,13586,11572,16475,16604,13490,15262,14611,11789,16602,16320,17019,15598,14988,12669,17566,16358,15973,22902,16917,18764,21507,18818,18506
51,Control,Urban - Standalone,40,26000,88,339904.6,959793,21773.4,18821.4,22756.6,29355.4,26716.6,25189.6,25589.6,24518.4,26375.6,21956.8,21170.8,30571.4,25700,19409,18546,26167,20639,22979,25958,24920,24626,22201,29063,19104,22307,20935,20696,22525,25227,27234,26804,19266,19861,20790,20820,24810,27718,21526,23609,20892,29331,22917,25681,21374,23741,27189,35208,26761,32073,35842,34035,27009
52,Control,Urban - Standalone,35,75000,27,143450,378555,7667,9571,10099.8,8763.2,9874.6,13784.8,8089.6,10730.6,11165,10987,10267.2,12324.8,10462.4,9663,7823,9211,8161,10699,8832,8564,8191,8474,10160,10454,9014,9889,9880,8429,8672,10611,9786,8047,9051,9393,8904,7946,7704,7852,8627,8451,8486,9702,8900,8920,9057,12523,11507,11335,9884,17044,15155,13554
53,7B,Urban - Standalone,6,222000,6,443485.8,1174959,31559.4,24633.6,23740.6,32640.2,30898.2,40808.2,33748.4,34352.4,33940.6,30550,36965.2,29175,32359,28115,31458,26156,28135,25365,32175,29505,27618,25419,29069,24515,28187,33500,29580,24878,22231,24417,27711,32594,30098,26281,35039,25308,24521,25240,32259,29874,28692,32856,25728,30871,28492,33058,35271,27850,39224,51880,40389,41400
54,Control,Metropolitan - Strip Mall,28,12000,39,105314,321653,8542.4,7310.4,5790,6711,8392.2,9549.2,7006.8,7271.8,6722.8,6676.6,7326.4,6946.8,8709.6,8358,6771,7976,8294,9557,6217,7748,7206,8121,7894,7927,8294,8637,8332,7763,8741,6387,6678,7315,6338,9369,7215,6852,6837,8505,7778,9038,9388,6533,7586,6794,7288,8479,12338,7949,10177,11020,12695,11258
55,Control,Suburban - Strip Mall,38,111000,3,430895.6,1152916,27420,22108.2,24716.8,33160.6,31380,36821.6,33754.8,30129.4,31411.2,29934.2,35327.4,29187.6,34313.8,31230,31464,22110,30401,26641,23153,31508,31379,26772,28301,26684,29734,25900,23469,23265,24735,29257,26549,26341,26077,28735,24790,28076,31122,25882,31258,27452,32382,32886,32462,32017,32709,33444,34856,30423,33262,36497,46819,32874
56,Control,Suburban - Standalone,31,14000,5,355656.2,1055369,23457,22624.6,27867.8,31161.8,27130.8,31479.4,27194.2,22915.4,21941.2,22301.8,23343.2,23116.8,30812.2,20310,27129,20218,25986,29250,26317,29189,27991,28489,23740,26775,21543,31929,22247,19661,28837,25429,26175,22610,25706,27175,25458,26003,25276,24842,24560,23144,22809,22536,31762,30812,28065,32058,33294,30994,27529,37229,41284,31008
57,7B,Suburban - Standalone,3,41000,47,368607,1073102,21319.2,20455,21690.2,27365,25014.8,37486.2,29672.4,25832.6,26264.2,24432.4,31839,28185.2,26662.8,22388,28617,25193,28589,26120,22522,24538,24890,22990,25836,26345,20804,31093,25360,24197,26099,25583,28185,24820,20851,27003,31671,29288,28395,30807,22820,29361,31371,31284,23899,22493,32057,30414,30479,25515,26006,39791,41791,33637
58,Control,Rural - Strip Mall,25,30000,1,313199.2,888285,22771.6,22799.4,21938.4,20113.2,23984.4,27339.6,18136,24130.2,21791.4,22186.2,18818,26862.4,22310.4,20018,24213,24140,18010,25874,19858,21093,18014,22577,25531,15722,21600,25672,20328,17624,20403,21302,22739,24675,17511,25780,24128,23221,22036,21893,18501,25347,25412,20341,19332,22207,24599,21593,28566,18492,24875,35875,34949,24234
59,8A,Suburban - Standalone,41,210000,8,181440.4,506329,9532.8,11319.8,12940,11033.2,13101.4,14542.6,14965.4,14827,12010.8,12252.4,13793.4,16185.8,11129.8,13806,9772,13923,10773,14959,10479,11900,12769,13446,11781,9285,9939,13988,13010,12743,13424,10381,13253,13776,10380,11691,13746,14201,12346,13518,10414,14728,12122,12362,14489,13870,12250,12060,14218,14192,17025,17017,17302,14991
60,Control,Metropolitan - Standalone,21,69000,53,225533.6,628360,15168.8,13680.4,15171,17618.8,14091.4,16133.6,18808.8,15821.4,13955.2,18314.2,18657.6,18659.8,15561.6,13891,14872,12819,15131,17645,12017,17186,17203,15594,17591,14236,13990,17149,16980,16013,13842,15967,12506,15085,13781,12844,17806,16963,16319,15089,18241,12971,13824,15287,17698,13775,15613,14556,19774,18052,15420,22891,24019,23720
61,Control,Urban - Strip Mall,7,214000,5,278846.4,814865,19932.2,21712.8,18251.4,19646,17430,27470.6,21312.8,17135.4,17573.8,19670.6,24839.8,17712,20285,15874,16171,18499,18907,21321,15644,19630,17802,20738,23152,19209,19746,19977,19923,21676,20830,19447,20081,19435,21578,19610,22510,17630,16269,21800,18987,21294,18708,23507,21890,19878,17550,19516,24255,22020,18649,34182,37231,29739
62,Control,Suburban - Strip Mall,31,12000,1,148514.2,443269,8398.2,11268.8,10253.6,11032.8,11115.4,13711.4,9211.8,10850.4,9155.8,8957.4,12823.8,10482.2,12455.6,8797,9374,10050,11055,13517,9100,9876,9306,10817,12838,11661,11640,12284,11188,10058,11168,9322,10676,12032,10455,12828,10956,10473,11040,9155,11405,10775,10775,9799,12535,11156,10773,11706,17682,9606,10837,18959,15417,12178
63,Control,Suburban - Strip Mall,17,32000,25,276321.4,819126,17341.8,16639.6,19093.8,21022.8,22798.2,26541.4,19104.6,16454,18797.8,17110.2,24936.2,21825.8,18818.2,15837,22530,21060,15852,21965,20764,16855,20320,19887,17172,21773,16168,24133,16572,15570,15406,19633,21265,21009,18117,18552,20888,22379,18224,17304,20743,23511,23005,18255,22803,21495,22736,23114,28413,25459,26138,24345,33868,26006
64,Control,Rural - Standalone,33,35000,2,427130.4,1165959,23736.2,29986.2,29986.2,25337.2,32307.2,39128,33852.2,34522.8,33210.6,26313.4,30631.2,30231,34073.2,23815,28334,26020,32506,29219,31005,27404,30410,23846,28945,25032,27707,26109,31372,30051,22511,22751,23755,32109,26542,24967,25347,29004,29560,29811,25197,35321,32617,25835,31235,29690,35975,30800,45535,26742,30498,50275,47726,30381
65,Control,Rural - Standalone,21,46000,52,339977.2,928568,22812.6,20219.2,26316.2,27186,19842.8,30234,28615.6,23228.6,27599,21467.6,20824,25366,27001.6,19264,24540,25849,18735,24048,21586,22578,24742,25619,21081,17522,23824,20299,21508,21839,20424,21545,25490,20066,27889,29332,20583,21461,22423,25579,22693,20303,23621,20746,23044,29655,21055,27189,37815,22833,23530,31199,31497,25562
